temperatura_c,umidade_percent,pressao_hpa,distancia_cm,risco_tempestade
24.20,74.05,1006.84,400.08,0
28.17,85.93,997.99,400.10,0
50.10,75.18,990.72,399.96,0
45.75,78.93,986.80,400.04,0
71.08,62.83,1006.35,399.94,0
68.59,75.23,1011.05,400.01,0
60.65,80.45,997.66,399.97,0
53.26,65.65,990.85,399.95,0
21.51,73.69,1017.64,399.98,0
79.60,78.51,1010.72,399.96,0
29.93,67.99,995.93,399.95,0
44.48,80.52,1003.30,400.06,0
51.28,75.81,994.09,399.97,0
35.95,87.59,1002.13,400.08,0
68.29,72.31,998.92,399.91,0
56.50,77.88,1018.59,399.92,0
63.19,84.66,989.52,399.94,0
54.76,80.68,996.89,400.00,0
72.42,62.83,1009.58,399.98,0
33.29,77.30,993.64,399.92,0
52.65,81.41,996.12,400.09,0
33.42,83.65,986.64,399.93,0
51.30,88.17,1002.41,400.06,0
75.15,86.49,980.69,400.03,1
23.73,67.06,995.07,400.08,0
49.86,80.24,1009.69,399.99,0
57.61,75.78,986.71,399.93,0
28.18,87.47,1003.59,400.09,0
67.98,75.85,988.55,400.04,0
37.81,84.39,1003.89,400.03,0
30.79,81.09,1017.04,400.05,0
72.19,63.20,988.08,399.98,0
64.90,84.08,999.35,400.02,0
78.41,72.14,982.38,400.08,1
31.47,71.45,1010.17,399.90,0
28.00,78.21,987.84,400.07,0
35.41,71.19,1019.78,399.99,0
23.78,69.89,980.73,399.93,0
38.85,71.68,1002.10,399.93,0
35.61,89.85,993.38,400.07,0
50.81,75.83,990.18,399.91,0
55.47,79.96,996.68,400.02,0
77.61,72.01,1012.86,399.90,0
42.19,87.00,994.04,400.06,0
50.70,71.73,1012.92,400.10,0
36.44,73.70,1018.66,400.10,0
61.70,72.43,1002.96,399.95,0
50.91,62.12,1009.49,400.02,0
35.52,77.75,989.17,400.09,0
50.29,81.70,1014.61,399.97,0
38.34,67.18,994.22,399.96,0
23.04,63.97,1017.92,400.05,0
51.21,68.93,1000.32,399.96,0
34.18,66.54,996.94,400.04,0
67.00,65.21,1003.69,399.97,0
23.84,75.41,1016.63,399.90,0
55.78,87.35,980.97,399.98,0
52.56,87.63,997.56,400.01,0
34.03,83.79,990.05,399.99,0
53.31,82.24,987.83,400.06,0
48.57,82.37,980.08,399.92,0
43.92,83.46,1011.39,400.00,0
20.58,60.96,1009.29,399.94,0
45.43,77.24,1003.59,399.93,0
52.42,84.57,1009.65,400.09,0
24.33,89.16,989.12,400.02,0
32.23,80.73,1013.59,400.00,0
31.17,65.38,988.62,400.07,0
76.25,81.35,1010.57,400.04,0
70.14,89.70,1004.45,399.93,1
57.86,64.29,994.19,399.93,0
32.66,89.45,1012.97,400.08,0
59.36,70.77,1011.98,399.92,0
64.63,80.62,1016.35,399.96,0
71.44,77.93,1001.00,400.05,1
66.68,68.43,985.48,399.98,0
41.62,64.49,1015.37,399.96,0
68.07,63.69,1017.64,400.09,0
58.76,89.42,987.84,400.04,0
24.39,87.56,1005.86,400.05,0
55.36,73.73,1006.86,399.96,0
31.56,83.89,1017.63,400.09,0
74.45,77.18,1006.81,400.05,0
57.95,84.84,1019.12,399.92,0
45.68,61.32,1017.11,399.94,0
53.10,78.20,981.91,399.91,0
60.28,77.18,1012.18,400.04,0
33.13,68.38,999.65,400.07,0
37.18,70.77,990.98,399.94,0
21.13,60.79,980.48,400.04,0
21.46,65.79,999.70,399.96,0
31.45,89.04,982.65,400.04,0
66.66,84.49,985.75,399.94,0
73.15,71.73,1017.45,400.04,0
27.00,72.90,1018.21,399.96,0
59.08,81.83,1003.01,400.09,0
64.87,79.68,992.21,400.02,0
30.18,86.78,986.55,399.91,0
54.87,89.88,994.20,399.96,0
54.37,81.89,1012.03,399.99,0
69.94,84.42,996.98,399.98,0
20.52,60.16,992.78,400.04,0
35.73,74.77,1005.67,399.98,0
32.20,86.34,982.22,400.00,0
42.33,66.89,1016.56,399.97,0
78.68,64.12,994.22,399.91,0
34.18,73.88,988.21,399.95,0
57.43,83.56,1000.49,399.91,0
69.52,61.69,994.18,400.00,0
77.55,61.54,985.32,399.92,0
21.16,70.27,989.65,399.91,0
66.19,62.21,996.39,399.99,0
54.85,78.21,1006.09,399.96,0
58.67,75.93,984.31,399.94,0
48.36,73.94,980.90,400.05,0
59.26,60.62,1009.17,400.07,0
29.10,70.92,1000.03,400.06,0
58.76,86.45,1010.81,400.05,0
20.76,62.24,1014.89,400.00,0
51.04,60.32,981.21,399.98,0
75.55,83.21,981.90,400.05,1
71.17,78.02,1018.56,400.09,0
20.05,88.23,1003.04,400.09,0
62.46,73.77,998.88,399.97,0
60.60,65.88,1016.76,400.01,0
77.67,77.16,1014.49,399.94,0
64.91,62.30,996.10,399.98,0
38.76,75.75,980.79,399.94,0
30.63,85.24,986.42,399.94,0
78.67,77.33,990.38,400.00,1
32.36,88.75,1001.16,399.91,0
29.68,75.01,982.93,399.95,0
72.36,80.04,994.90,400.04,1
63.18,64.30,1009.18,399.90,0
26.35,63.86,984.04,400.03,0
41.72,67.06,1003.43,400.00,0
60.21,70.67,986.16,400.01,0
27.30,85.01,981.71,400.04,0
23.95,89.57,1002.90,400.01,0
26.45,71.51,1011.64,399.90,0
24.32,74.73,1001.95,400.08,0
47.87,86.52,1013.63,399.98,0
49.93,66.82,989.67,399.99,0
65.03,62.59,1002.61,399.94,0
51.11,80.12,1017.83,399.93,0
79.28,74.90,996.42,399.99,1
36.25,79.17,984.11,400.01,0
57.17,68.34,993.11,399.98,0
44.01,84.74,998.45,400.00,0
25.27,65.03,1006.48,399.95,0
70.45,81.75,984.86,399.99,1
53.81,74.14,995.97,399.98,0
37.68,69.07,1005.68,399.94,0
59.21,67.66,1006.74,400.07,0
33.89,86.06,994.44,399.95,0
54.87,85.10,984.92,399.96,0
58.88,86.86,1004.16,400.02,0
51.15,63.19,1016.53,399.92,0
38.39,71.98,1001.19,399.95,0
78.59,61.26,1001.54,400.03,0
63.02,81.09,983.90,399.99,0
24.30,62.48,1009.06,399.99,0
52.72,81.98,998.57,399.93,0
35.42,80.17,1002.55,400.02,0
51.44,61.13,1017.08,400.07,0
35.90,85.74,992.60,400.03,0
78.89,88.01,1017.73,399.91,0
31.70,73.79,1007.88,399.99,0
74.39,73.88,1005.37,400.05,0
58.25,88.81,1000.67,399.95,0
68.90,89.57,983.14,400.10,0
70.47,81.41,1013.45,400.07,0
63.78,81.09,1019.10,400.04,0
73.54,65.50,984.64,400.06,0
80.00,78.77,982.96,399.92,1
34.32,89.99,994.80,400.04,0
71.92,71.17,985.39,399.91,1
61.79,75.24,1006.76,399.96,0
76.87,87.52,989.93,400.05,1
78.21,72.70,987.55,400.07,1
22.16,71.21,983.06,400.01,0
25.88,71.27,993.56,400.08,0
48.03,69.39,999.57,400.05,0
35.96,70.50,996.39,400.07,0
36.93,73.74,1013.03,400.06,0
46.45,70.85,980.13,399.97,0
61.08,66.25,1009.94,399.97,0
55.96,78.99,1019.30,399.96,0
38.34,64.99,1004.55,399.97,0
48.69,74.47,1019.43,400.01,0
26.07,68.45,996.90,400.00,0
38.81,65.82,1011.82,399.97,0
45.96,65.36,991.76,400.03,0
50.82,69.11,1008.20,400.07,0
24.88,78.95,1007.60,399.93,0
73.77,60.41,1004.95,399.95,0
36.88,67.81,998.63,399.90,0
78.20,76.93,1012.37,400.09,0
30.23,88.49,1009.29,400.09,0
62.30,63.57,1007.82,400.09,0
55.61,89.96,985.90,400.08,0
30.78,61.39,1018.68,400.01,0
51.93,76.37,995.44,399.92,0
55.75,63.48,981.59,400.00,0
74.24,73.77,1015.29,399.96,0
72.30,74.76,1009.68,400.00,0
29.37,65.20,997.31,399.92,0
76.39,63.18,1019.43,400.09,0
75.85,62.86,998.92,400.01,0
46.48,72.51,1003.14,399.97,0
76.72,85.06,1011.22,399.99,0
75.18,77.36,995.44,400.02,1
61.08,83.54,982.46,400.06,0
69.84,66.92,991.35,400.02,0
73.63,69.38,981.56,399.92,0
77.58,79.02,1001.49,400.07,1
57.23,89.25,994.91,400.05,0
55.29,84.58,1003.69,399.92,0
46.88,75.93,981.20,399.97,0
21.14,60.89,1005.57,399.94,0
36.67,86.11,986.23,399.91,0
39.17,87.87,1008.51,399.94,0
57.02,68.35,1019.96,399.99,0
44.02,86.66,999.74,399.95,0
61.49,89.89,1007.06,399.94,0
57.26,87.01,1015.92,400.02,0
51.03,67.93,989.35,399.98,0
60.40,86.18,1011.48,399.91,0
77.85,69.84,993.58,400.04,0
74.28,83.69,1017.08,400.00,0
50.40,66.65,1000.01,400.06,0
60.74,84.73,989.02,399.97,0
62.60,85.39,1010.15,399.93,0
59.45,80.01,1002.40,399.99,0
45.85,84.32,1004.28,400.07,0
55.99,86.22,1008.32,400.00,0
52.95,75.54,1015.20,399.97,0
74.97,80.30,990.63,399.99,1
42.10,78.52,1000.12,399.95,0
33.09,61.56,1018.95,399.93,0
27.19,64.06,982.77,399.91,0
61.78,60.64,999.02,400.05,0
39.89,64.90,998.58,399.98,0
51.37,79.18,997.53,400.05,0
28.05,88.20,1008.73,399.94,0
38.16,69.96,1018.53,400.09,0
60.53,88.16,1019.32,400.08,0
60.58,75.11,1013.35,399.99,0
38.52,86.23,1011.13,399.91,0
24.80,80.03,986.56,400.05,0
50.03,80.22,997.85,399.98,0
34.61,72.56,1018.44,400.08,0
21.62,75.72,998.31,400.09,0
34.14,61.61,1011.26,400.03,0
48.79,74.14,1006.26,400.03,0
26.31,78.10,995.63,399.92,0
44.32,88.90,988.83,400.04,0
66.78,67.42,1002.99,399.94,0
70.56,60.08,1013.62,399.99,0
78.61,78.21,997.46,399.94,1
65.32,75.50,1007.50,399.98,0
29.06,67.15,1015.98,400.02,0
67.52,66.54,1011.48,400.01,0
61.25,72.57,1015.62,400.06,0
46.65,82.41,995.52,400.06,0
45.14,78.64,983.34,399.97,0
76.03,74.08,986.95,400.00,1
72.55,75.46,999.62,400.07,1
51.96,65.37,992.15,399.91,0
41.58,75.35,991.20,400.06,0
32.17,82.39,1015.99,400.03,0
43.72,88.88,983.11,400.04,0
51.83,75.77,1003.08,399.94,0
72.13,77.42,1008.35,400.02,0
36.16,66.09,992.34,399.96,0
72.30,72.12,1010.72,400.01,0
50.10,85.99,1008.24,400.00,0
53.79,64.56,1009.40,399.90,0
30.70,76.85,990.33,400.06,0
79.05,69.76,1006.81,400.01,0
40.86,70.55,1007.03,399.98,0
48.47,83.35,990.11,399.93,0
76.83,81.80,1008.63,399.97,0
52.36,74.89,1004.40,399.94,0
22.53,77.72,988.75,399.91,0
21.43,88.50,1009.27,400.04,0
54.98,62.18,1018.69,400.07,0
28.10,86.41,988.87,399.99,0
28.52,63.91,987.69,400.09,0
69.63,85.18,986.30,400.00,0
71.45,87.56,996.67,400.08,1
47.69,87.50,1004.80,400.07,0
66.35,85.39,1004.59,400.01,0
21.56,88.74,1014.13,400.04,0
24.86,67.79,993.41,399.93,0
34.81,62.67,999.97,400.05,0
32.96,75.48,991.96,399.93,0
48.09,60.12,1003.04,399.98,0
21.84,65.87,989.51,400.05,0
72.32,75.50,995.88,400.04,1
27.19,65.90,1008.01,400.06,0
76.50,83.86,990.18,399.99,1
48.61,71.91,991.76,400.10,0
76.95,64.52,1015.47,400.05,0
46.86,88.28,985.55,400.04,0
63.72,77.80,1005.78,400.07,0
30.12,71.83,983.79,400.06,0
66.79,86.21,983.45,399.96,0
76.19,86.11,1001.70,399.91,1
62.27,83.20,1003.15,399.95,0
21.71,78.60,1007.15,400.02,0
64.10,86.70,995.51,400.06,0
68.00,71.08,1001.50,400.04,0
55.27,63.34,1009.54,399.98,0
76.67,60.37,999.37,399.98,0
76.91,81.26,1009.64,399.96,0
33.80,85.91,980.84,399.98,0
45.96,84.59,1014.33,400.00,0
71.65,78.92,995.27,400.01,1
74.09,60.59,1001.86,399.97,0
44.55,65.51,1004.49,400.10,0
30.71,83.56,987.63,399.99,0
50.56,79.29,1003.31,399.97,0
53.09,72.26,1003.93,400.03,0
60.36,88.08,989.46,400.02,0
45.54,80.28,1014.13,400.08,0
26.84,81.89,1009.58,399.92,0
50.46,81.67,1010.40,400.03,0
24.60,60.17,1012.38,399.90,0
49.26,80.29,1015.68,399.91,0
69.29,74.85,992.96,399.93,0
29.75,74.53,1010.99,399.94,0
75.46,89.24,1002.11,400.07,1
39.43,76.52,1003.08,399.93,0
68.23,88.65,991.93,400.05,0
34.37,85.13,1000.60,399.98,0
31.44,68.43,1011.07,399.96,0
26.44,83.91,988.03,400.09,0
77.43,66.93,1011.70,399.91,0
44.30,84.34,1000.30,399.93,0
74.48,64.35,991.68,400.02,0
76.02,63.40,1019.78,400.08,0
72.40,65.40,997.38,400.06,0
45.72,63.20,992.25,399.96,0
46.58,62.47,1002.93,400.02,0
39.73,75.23,989.71,400.08,0
42.76,71.56,1011.78,400.01,0
56.06,70.16,1015.31,400.00,0
43.03,81.88,986.11,400.00,0
53.06,76.54,990.97,400.03,0
74.85,74.56,983.19,399.98,1
57.43,70.36,995.47,399.92,0
29.14,64.40,985.19,400.03,0
56.08,82.25,998.21,399.98,0
40.39,79.75,983.91,399.95,0
56.92,68.71,980.86,399.91,0
72.99,88.73,1018.68,399.93,0
47.79,83.67,1014.86,399.92,0
34.91,86.26,1001.89,400.01,0
62.76,75.10,995.23,399.99,0
63.47,74.35,1008.34,400.07,0
57.50,89.07,995.14,400.05,0
47.74,88.28,1003.63,400.10,0
36.76,78.22,981.40,399.95,0
62.55,79.50,1008.96,400.02,0
39.16,78.56,1018.99,400.07,0
43.00,76.43,989.96,400.08,0
24.96,76.51,1014.39,400.01,0
53.59,80.94,996.82,400.02,0
52.96,85.32,1004.31,400.09,0
20.08,84.26,980.58,399.91,0
69.24,67.91,991.87,400.04,0
33.78,78.84,1015.67,399.90,0
35.67,87.65,996.36,399.93,0
74.23,75.49,1016.72,400.03,0
79.63,63.61,1005.50,399.98,0
42.14,73.98,1004.70,400.01,0
22.12,84.98,985.27,400.10,0
37.09,69.95,1011.05,399.93,0
34.88,88.16,982.13,400.09,0
77.02,85.88,994.23,399.99,1
55.57,71.43,1001.49,399.91,0
27.77,87.45,1008.51,400.02,0
67.65,68.51,1001.58,399.93,0
40.79,82.02,993.75,399.97,0
45.55,86.41,996.02,399.94,0
50.09,61.39,1007.95,399.99,0
39.17,67.81,997.01,399.93,0
33.01,75.55,997.52,399.93,0
68.57,81.59,981.76,400.05,0
20.10,83.40,1016.33,399.98,0
30.21,68.94,1000.39,400.06,0
21.23,81.01,1015.79,400.01,0
58.85,81.41,1018.41,399.97,0
60.18,80.26,1004.03,399.91,0
22.10,76.92,992.62,399.92,0
51.16,88.79,1010.41,400.01,0
79.66,75.79,1005.83,400.09,0
38.03,86.11,1010.76,399.98,0
28.39,65.57,999.15,399.92,0
41.54,70.94,998.87,400.08,0
32.09,88.71,995.81,399.98,0
51.36,71.20,1003.28,399.92,0
43.88,88.36,996.55,400.06,0
64.70,63.95,1004.73,399.93,0
26.66,80.67,1016.93,400.03,0
62.55,72.18,992.04,400.08,0
21.44,89.35,1001.39,400.09,0
72.93,76.16,997.15,399.98,1
23.53,73.75,1011.77,399.97,0
67.56,70.31,1010.29,400.00,0
67.90,73.78,1006.08,400.09,0
33.78,72.70,986.69,399.90,0
60.49,85.08,986.42,400.09,0
61.17,66.52,980.18,399.94,0
39.97,62.36,1002.14,400.07,0
31.48,67.69,992.65,399.96,0
76.42,66.83,1014.18,400.02,0
46.31,64.50,993.76,399.91,0
32.91,69.36,1012.39,399.95,0
46.22,76.36,986.01,399.98,0
64.46,62.72,1007.69,400.04,0
44.04,65.36,1006.81,399.91,0
57.97,71.62,997.23,400.00,0
76.12,61.11,1018.35,399.91,0
56.45,86.16,991.63,399.90,0
58.18,65.25,1007.53,399.98,0
44.81,65.43,1001.29,399.98,0
25.58,62.62,988.52,400.01,0
64.02,66.99,1000.92,399.95,0
32.51,86.09,1019.81,399.92,0
32.01,62.00,991.35,399.96,0
41.99,80.53,991.86,400.06,0
36.16,65.72,995.99,399.95,0
42.65,68.57,1014.43,399.95,0
69.02,69.64,1009.18,400.09,0
36.27,76.68,1015.11,399.97,0
52.70,86.51,980.81,400.00,0
64.57,78.24,1000.16,400.01,0
57.61,86.30,999.96,400.00,0
38.42,62.82,992.34,399.98,0
42.34,74.81,1016.30,400.10,0
56.63,68.01,986.04,399.96,0
68.56,76.25,981.24,399.98,0
59.77,73.27,1010.70,400.04,0
76.57,71.88,999.57,399.93,1
39.13,75.82,992.99,400.02,0
67.82,77.44,992.29,400.01,0
36.75,68.62,984.82,400.08,0
27.07,64.45,1012.20,400.01,0
21.49,89.54,984.96,399.92,0
74.00,73.13,980.72,399.92,1
47.31,85.73,1004.92,400.09,0
46.47,86.75,1004.75,400.07,0
22.42,78.35,983.85,400.01,0
72.45,65.98,985.89,400.04,0
39.43,77.82,997.98,400.06,0
21.09,81.21,994.67,399.98,0
39.72,82.24,994.60,400.00,0
57.95,68.12,1018.95,399.95,0
59.89,69.64,981.29,400.05,0
34.59,71.97,1006.56,399.98,0
45.21,83.15,1012.21,399.97,0
60.69,66.70,1001.75,399.98,0
36.41,81.99,998.81,400.08,0
64.74,66.92,1001.78,399.98,0
52.21,84.79,986.12,399.95,0
23.01,79.71,987.30,400.04,0
64.59,85.84,1003.36,399.97,0
77.66,66.73,1014.94,400.05,0
55.39,86.06,984.45,400.01,0
64.27,87.17,980.62,399.99,0
68.86,75.04,985.79,400.02,0
29.86,74.30,1018.59,399.97,0
28.59,83.77,1016.15,400.05,0
42.49,71.08,1015.73,399.96,0
34.65,68.45,1010.95,400.01,0
39.94,77.26,999.30,400.07,0
35.89,69.54,1001.23,400.06,0
59.87,69.81,1007.94,400.00,0
51.19,87.59,1000.01,400.03,0
67.36,70.51,1005.08,399.98,0
50.46,72.16,988.38,400.02,0
27.05,81.80,1013.61,399.96,0
45.58,66.19,1014.69,399.99,0
67.79,73.22,1016.45,400.00,0
36.64,80.43,1013.67,400.06,0
56.90,86.32,981.93,399.94,0
21.64,64.01,1009.88,400.09,0
54.61,80.45,990.70,399.93,0
33.32,66.34,1006.53,399.91,0
36.99,64.28,980.02,399.99,0
65.24,74.92,992.12,399.97,0
28.50,69.97,995.39,399.97,0
58.13,85.26,1000.58,400.02,0
70.76,80.41,993.30,400.08,1
29.03,70.89,1004.62,399.91,0
52.17,73.91,1019.14,400.09,0
34.25,62.18,1014.13,399.94,0
26.75,67.59,1004.67,400.01,0
73.31,75.75,1005.16,399.91,0
56.01,73.07,985.63,399.97,0
27.46,69.79,1009.35,399.92,0
55.97,83.41,1012.42,399.98,0
79.35,60.18,990.42,400.00,0
75.17,89.63,1002.65,400.10,1
57.74,67.01,1008.37,400.01,0
48.77,75.02,1005.13,400.00,0
35.88,89.08,1006.58,399.92,0
29.79,65.76,1004.79,400.07,0
78.87,67.05,983.11,399.92,0
77.87,62.86,981.87,400.00,0
31.80,87.20,980.71,400.06,0
67.37,81.25,1006.44,400.06,0
28.45,73.47,1015.88,399.93,0
51.10,65.52,987.45,399.93,0
43.76,86.44,1016.33,399.98,0
43.33,67.34,1004.18,399.99,0
39.50,66.67,1019.07,400.09,0
52.98,77.40,1010.43,400.03,0
71.38,77.62,1018.28,400.03,0
52.29,62.38,989.19,400.02,0
29.73,76.31,990.71,399.94,0
54.56,83.80,1000.62,399.91,0
57.99,65.10,990.12,399.91,0
39.37,64.23,1010.57,399.90,0
49.64,75.80,980.26,400.04,0
24.39,82.38,992.65,399.94,0
79.02,73.40,990.24,400.10,1
51.05,70.22,999.89,399.98,0
23.80,75.71,994.76,399.91,0
26.77,84.97,1001.23,399.91,0
48.84,89.74,998.83,400.09,0
48.72,78.23,1004.87,400.01,0
76.13,69.54,990.19,400.07,0
68.94,80.75,987.06,400.08,0
23.76,78.84,1004.78,400.04,0
68.38,85.62,987.67,400.02,0
58.72,66.53,1011.57,400.01,0
53.75,76.56,1000.77,400.10,0
58.15,83.53,1007.58,399.90,0
39.15,88.21,983.88,400.06,0
44.44,88.04,989.51,399.97,0
51.38,84.21,1013.71,399.97,0
20.64,85.68,985.41,400.09,0
38.80,68.33,998.10,400.05,0
58.60,77.19,992.65,399.99,0
75.23,62.86,988.18,399.99,0
24.16,88.71,986.05,400.09,0
58.27,84.41,1013.34,399.91,0
76.68,64.07,993.74,399.92,0
78.58,64.48,1014.94,400.06,0
38.89,66.85,1009.82,399.93,0
58.13,73.10,983.21,399.92,0
74.50,60.33,991.49,400.05,0
72.50,83.18,1011.84,400.07,0
48.91,83.31,995.74,399.94,0
35.20,69.85,996.96,400.09,0
25.26,80.55,1000.34,400.03,0
55.59,64.03,985.49,399.91,0
73.97,62.23,1012.47,400.09,0
54.24,75.84,1010.80,399.97,0
22.97,85.93,986.21,400.00,0
68.55,73.59,984.31,399.91,0
71.49,85.80,1019.93,399.95,0
35.88,76.89,980.65,400.01,0
38.48,67.44,993.19,399.99,0
30.80,79.42,993.41,399.91,0
70.79,81.10,1004.17,400.01,1
57.08,88.98,1013.19,400.04,0
66.47,74.40,985.81,399.93,0
61.56,80.41,1015.60,400.10,0
53.86,68.01,1012.70,399.91,0
75.35,63.25,980.51,399.90,0
30.07,64.97,988.17,399.93,0
30.16,82.23,1017.23,400.05,0
76.33,86.54,988.00,399.95,1
21.52,83.03,987.47,400.06,0
23.42,65.11,981.72,399.91,0
69.56,82.18,980.43,399.98,0
59.68,81.04,998.60,399.95,0
38.58,63.54,992.27,399.99,0
70.13,77.30,1006.19,400.03,0
26.78,66.66,1003.99,399.92,0
45.20,73.39,1004.55,399.95,0
23.80,74.97,1004.26,400.02,0
62.95,82.12,987.77,399.99,0
20.82,71.78,985.31,399.92,0
29.95,86.53,980.18,400.09,0
50.74,72.42,995.79,400.08,0
57.38,69.46,1014.16,400.03,0
26.35,63.37,1004.24,399.90,0
61.89,82.69,1005.41,399.95,0
61.48,80.49,993.97,399.90,0
73.38,82.45,994.80,399.92,1
78.68,62.28,1015.44,400.06,0
57.77,74.55,1018.40,399.91,0
79.06,68.67,995.81,400.10,0
65.65,71.02,1000.83,400.05,0
21.50,85.25,1003.79,400.09,0
76.47,76.93,1000.56,400.01,1
66.93,87.61,1009.12,400.08,0
51.25,71.08,995.00,399.95,0
53.45,63.37,1016.40,399.95,0
47.97,69.65,1008.95,399.98,0
39.33,72.95,1003.86,400.02,0
36.33,62.23,987.11,399.93,0
39.21,88.82,1018.52,400.05,0
27.27,80.40,982.83,399.91,0
62.40,80.58,990.68,400.00,0
45.75,86.87,1013.24,399.91,0
53.26,73.43,993.78,400.04,0
63.39,68.17,1017.15,400.06,0
37.12,76.55,997.84,399.95,0
31.71,65.98,1009.58,400.05,0
72.40,65.90,980.09,399.92,0
21.16,73.83,1006.80,399.95,0
36.54,89.66,1013.16,399.95,0
52.39,84.55,995.96,399.97,0
31.35,80.27,996.88,400.09,0
21.37,74.81,1009.44,399.98,0
34.82,67.55,991.91,400.06,0
28.04,76.16,986.29,399.90,0
62.14,76.65,993.29,399.94,0
29.76,72.77,1005.27,400.01,0
32.95,64.01,993.88,399.92,0
68.34,60.91,998.20,399.93,0
63.16,78.10,1005.52,399.95,0
79.08,60.84,994.51,400.00,0
40.17,76.25,1010.93,400.06,0
68.78,81.18,1000.28,399.96,0
72.54,64.79,1010.51,400.04,0
30.81,70.57,986.67,400.03,0
56.72,88.55,999.20,399.96,0
34.11,78.90,1000.94,400.02,0
67.26,71.52,1005.52,400.04,0
46.75,77.81,1002.13,400.04,0
66.68,63.26,988.98,400.07,0
26.07,81.17,997.47,399.95,0
22.48,72.47,999.89,399.98,0
52.14,67.01,993.84,400.08,0
39.06,60.54,1014.81,399.98,0
66.83,65.86,1019.02,400.02,0
21.40,79.67,1013.95,400.08,0
76.72,74.78,1007.95,399.91,0
29.73,86.20,991.61,400.10,0
47.11,86.80,993.07,399.93,0
22.39,77.23,993.02,399.95,0
72.21,79.05,1011.41,400.09,0
60.93,83.31,1019.29,400.08,0
65.03,85.96,986.28,399.96,0
32.46,66.39,999.13,400.00,0
64.46,72.97,999.96,400.05,0
52.04,70.85,1019.71,399.99,0
71.99,73.23,985.65,400.02,1
51.13,83.07,1005.58,400.08,0
26.87,88.16,997.18,399.90,0
53.76,81.14,1008.56,400.08,0
41.50,74.07,1003.75,400.04,0
40.94,70.51,1005.35,400.03,0
40.70,81.47,1012.04,400.05,0
48.82,86.45,1002.89,400.00,0
62.46,77.09,1004.41,400.04,0
50.29,69.86,1009.57,400.06,0
74.52,70.09,986.82,400.08,1
34.71,78.33,987.54,400.00,0
22.46,60.32,1008.73,399.90,0
36.39,73.65,1018.14,399.96,0
70.09,72.88,985.06,399.97,1
60.28,76.82,987.37,399.93,0
22.12,81.87,1017.10,399.93,0
54.68,65.08,983.93,400.00,0
69.88,74.24,998.22,400.08,0
41.84,80.68,980.96,399.97,0
63.93,71.41,996.05,400.02,0
47.52,62.57,983.90,399.95,0
65.57,73.70,1004.98,400.07,0
24.94,70.55,1001.11,400.01,0
27.38,71.66,1015.29,400.00,0
23.89,80.20,1006.56,399.96,0
21.39,87.43,994.38,400.03,0
75.77,71.44,1000.66,399.97,1
44.26,72.98,1016.86,399.96,0
23.89,78.43,989.67,400.09,0
56.66,71.71,990.18,399.93,0
29.43,67.14,1003.20,399.98,0
47.24,66.45,982.26,400.01,0
52.26,75.97,1018.31,399.97,0
69.05,66.47,990.28,399.95,0
46.91,74.80,984.44,399.96,0
62.90,78.04,999.65,399.91,0
33.80,76.70,984.33,399.95,0
78.90,89.72,1007.28,400.05,0
32.41,73.96,999.68,400.05,0
50.91,66.97,1015.60,400.01,0
26.88,80.27,983.85,399.91,0
74.19,68.85,998.31,400.02,0
26.71,66.63,1004.02,399.91,0
53.88,63.20,990.52,400.05,0
76.76,83.50,1009.85,399.95,0
55.16,85.11,1002.39,399.96,0
77.25,74.10,1009.81,400.04,0
41.23,66.99,986.02,399.91,0
66.93,79.55,1005.77,399.90,0
21.32,63.56,989.34,400.10,0
46.33,79.72,990.49,399.95,0
26.99,67.47,1002.58,399.96,0
35.74,83.22,981.60,399.92,0
73.46,61.17,993.31,399.99,0
53.78,69.01,1014.65,400.07,0
70.14,84.00,985.15,399.93,1
69.77,64.12,999.82,400.02,0
73.35,78.40,989.04,399.99,1
51.86,68.18,981.20,400.09,0
69.54,83.64,1008.06,400.09,0
71.49,70.66,983.49,400.08,1
26.02,74.89,1016.29,399.91,0
59.41,75.46,1004.11,399.99,0
30.18,72.51,981.44,400.09,0
47.77,67.85,1016.09,399.98,0
34.09,76.45,995.28,400.00,0
58.72,74.20,990.05,400.00,0
23.62,87.26,1010.53,399.96,0
68.13,60.32,1004.83,400.09,0
41.53,87.29,990.10,400.02,0
54.87,85.66,1011.90,400.02,0
63.13,65.24,1002.63,400.10,0
27.45,88.97,1007.20,399.97,0
41.37,76.64,986.15,399.97,0
66.62,63.44,1001.91,400.01,0
58.20,87.35,1015.90,400.03,0
37.76,86.50,987.09,399.95,0
58.02,65.34,985.62,399.91,0
48.20,83.46,1014.42,400.00,0
22.04,85.37,1013.06,399.98,0
30.41,61.20,993.26,400.01,0
77.59,74.45,987.60,399.94,1
41.09,64.39,993.54,399.96,0
34.77,72.68,995.69,399.96,0
55.72,64.87,990.49,400.00,0
23.10,68.18,1003.76,399.92,0
56.26,82.75,996.56,399.93,0
61.81,89.38,1006.38,399.92,0
34.83,87.10,1011.41,400.04,0
41.23,87.65,1008.35,399.93,0
44.78,87.20,988.56,399.92,0
29.82,66.59,1010.92,400.03,0
46.77,75.33,1016.61,399.95,0
43.58,80.06,994.99,399.97,0
35.54,70.95,1008.60,400.06,0
63.77,84.66,987.47,400.02,0
35.22,65.08,980.01,400.00,0
69.48,84.55,983.12,399.99,0
23.19,69.74,1011.27,400.04,0
